YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2017,2018,1970,PRIVATE,16,Don Valley East,150 GRAYDON HALL DR,25,298,80
2017,2018,1973,PRIVATE,05,York South-Weston,2460 WESTON RD,27,214,74
2017,2018,1969,TCHC,14,Toronto-Danforth,1555 QUEEN ST E,6,60,72
2017,2018,1969,TCHC,14,Toronto-Danforth,1575 QUEEN ST E,6,60,72
2017,2018,1969,PRIVATE,07,Humber River-Black Creek,35 DUNCANWOODS DR,7,75,75
2017,2018,1960,TCHC,14,Toronto-Danforth,1615 DUNDAS ST E,4,81,68
2017,2018,1970,PRIVATE,16,Don Valley East,50 GRAYDON HALL DR,20,304,79
2017,2018,1970,PRIVATE,16,Don Valley East,100 GRAYDON HALL DR,24,286,75
2017,2018,1962,TCHC,19,Beaches-East York,9 HALDON AVE,6,200,76
2018,2018,1962,PRIVATE,03,Etobicoke-Lakeshore,9 KINSDALE BLVD,4,23,69
2017,2018,1955,PRIVATE,04,Parkdale-High Park,140 JAMESON AVE,4,23,72
2017,2018,1984,SOCIAL HOUSING,05,York South-Weston,29 SOUTH STATION ST,13,128,78
2018,2018,1925,PRIVATE,19,Beaches-East York,2367 QUEEN ST E,3,24,71
2017,2018,1930,PRIVATE,19,Beaches-East York,2373 QUEEN ST E,3,27,66
2017,2018,1969,PRIVATE,14,Toronto-Danforth,1000 BROADVIEW AVE,18,110,89
2017,2018,1973,PRIVATE,14,Toronto-Danforth,1111 BROADVIEW AVE,4,41,80
2017,2018,1969,PRIVATE,06,York Centre,6200 BATHURST ST,14,181,73
2017,2018,2001,TCHC,14,Toronto-Danforth,10 BOULTBEE AVE,11,167,77
2017,2018,1956,PRIVATE,04,Parkdale-High Park,146 JAMESON AVE,4,28,72
2017,2018,1963,PRIVATE,03,Etobicoke-Lakeshore,220 LAKE PROMENADE,7,118,63
2017,2018,1964,PRIVATE,03,Etobicoke-Lakeshore,230 LAKE PROMENADE,7,118,58
2018,2018,1953,PRIVATE,05,York South-Weston,2645 KEELE ST,3,21,63
2017,2018,1974,TCHC,14,Toronto-Danforth,145 STRATHMORE BLVD,14,350,70
2017,2018,1960,PRIVATE,08,Eglinton-Lawrence,2895 BATHURST ST,5,60,69
2017,2018,1960,PRIVATE,24,Scarborough-Guildwood,1 MEADOWGLEN PL,6,50,66
2017,2018,1950,PRIVATE,21,Scarborough Centre,1385 MIDLAND AVE,13,144,63
2017,2018,1970,PRIVATE,02,Etobicoke Centre,300 THE KINGSWAY,4,12,64
